Source Node,Breadcrumb Path,Content Type,URL,Title,Author,File Type,Size,URL Valid
treeitem-6e122c92-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/mJXN5m8D0Ms?wmode=transparent&hl=de&rel=0,YouTube Video (mJXN5m8D0Ms),,video,,Valid
treeitem-6e122c92-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.5_2.6_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.5_2.6_ETG_AM,Schrack for Students,pdf,517 KB,Valid
treeitem-6f6a246a-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/HkRVCYeeCvY?wmode=transparent&hl=de&rel=0,YouTube Video (HkRVCYeeCvY),,video,,Valid
treeitem-6f6a246a-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.7_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.7_ETG_AM,Schrack for Students,pdf,459 KB,Valid
treeitem-52bfc630-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/r1RPok-_xrU?wmode=transparent&hl=de&rel=0,YouTube Video (r1RPok-_xrU),,video,,Valid
treeitem-52bfc630-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.8_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.8_ETG_AM,Schrack for Students,pdf,429 KB,Valid
treeitem-07354a33-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/DtUYE3Jn2L8?wmode=transparent&hl=de&rel=0,YouTube Video (DtUYE3Jn2L8),,video,,Valid
treeitem-07354a33-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/z--fVW6TOQY?wmode=transparent&hl=de&rel=0,YouTube Video (z--fVW6TOQY),,video,,Valid
treeitem-07354a33-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.9_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.9_ETG_AM,Schrack for Students,pdf,491 KB,Valid
treeitem-47304302-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/7kEtCQthHR8?wmode=transparent&hl=de&rel=0,YouTube Video (7kEtCQthHR8),,video,,Valid
treeitem-47304302-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/Fmscd9X9WFo?wmode=transparent&hl=de&rel=0,YouTube Video (Fmscd9X9WFo),,video,,Valid
treeitem-47304302-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/Qkyan9pizMM?wmode=transparent&hl=de&rel=0,YouTube Video (Qkyan9pizMM),,video,,Valid
treeitem-47304302-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.10_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.10_ETG_AM,Schrack for Students,pdf,544 KB,Valid
treeitem-23ffc82a-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/EMmDXaZwx0M?wmode=transparent&hl=de&rel=0,YouTube Video (EMmDXaZwx0M),,video,,Valid
treeitem-23ffc82a-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/PiyzcS8lYLw?wmode=transparent&hl=de&rel=0,YouTube Video (PiyzcS8lYLw),,video,,Valid
treeitem-23ffc82a-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/6K9EwoEuMrc?wmode=transparent&hl=de&rel=0,YouTube Video (6K9EwoEuMrc),,video,,Valid
treeitem-23ffc82a-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.11_2.12_2.13_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.11_2.12_2.13_ETG_AM,Schrack for Students,pdf,"1,16 MB",Valid
treeitem-0c3ad772-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/EMmDXaZwx0M?wmode=transparent&hl=de&rel=0,YouTube Video (EMmDXaZwx0M),,video,,Valid
treeitem-0c3ad772-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/PiyzcS8lYLw?wmode=transparent&hl=de&rel=0,YouTube Video (PiyzcS8lYLw),,video,,Valid
treeitem-0c3ad772-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/6K9EwoEuMrc?wmode=transparent&hl=de&rel=0,YouTube Video (6K9EwoEuMrc),,video,,Valid
treeitem-0c3ad772-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/ccwUMZxTvLg?wmode=transparent&hl=de&rel=0,YouTube Video (ccwUMZxTvLg),,video,,Valid
treeitem-0c3ad772-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.11_2.12_2.13_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.11_2.12_2.13_ETG_AM,Schrack for Students,pdf,"1,16 MB",Valid
treeitem-2540387c-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/-cSZQY1G6l4?wmode=transparent&hl=de&rel=0,YouTube Video (-cSZQY1G6l4),,video,,Valid
treeitem-2540387c-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/tCLut3V0sUM?wmode=transparent&hl=de&rel=0,YouTube Video (tCLut3V0sUM),,video,,Valid
treeitem-2540387c-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/UoqU3RjKCh8?wmode=transparent&hl=de&rel=0,YouTube Video (UoqU3RjKCh8),,video,,Valid
treeitem-2540387c-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/nrDLJsOyTlU?wmode=transparent&hl=de&rel=0,YouTube Video (nrDLJsOyTlU),,video,,Valid
treeitem-2540387c-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.11_2.12_2.13_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.11_2.12_2.13_ETG_AM,Schrack for Students,pdf,"1,16 MB",Valid
treeitem-74999a76-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/ILp7YgxnxVU?wmode=transparent&hl=de&rel=0,YouTube Video (ILp7YgxnxVU),,video,,Valid
treeitem-74999a76-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.14_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.14_ETG_AM,Schrack for Students,pdf,717 KB,Valid
treeitem-17ac57ec-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.15_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.15_ETG_AM,Schrack for Students,pdf,518 KB,Valid
treeitem-da779adc-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/84HL979b-jA?wmode=transparent&hl=de&rel=0,YouTube Video (84HL979b-jA),,video,,Valid
treeitem-da779adc-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.16_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.16_ETG_AM,Schrack for Students,pdf,793 KB,Valid
treeitem-1c0f8534-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.17_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.17_ETG_AM,Schrack for Students,pdf,496 KB,Valid
treeitem-728e29d1-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_3.1_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_3.1_ETG_AM,Schrack for Students,pdf,315 KB,Valid
treeitem-4c55a3f9-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,YouTube,https://www.youtube.com/embed/UheIEjVM53o?wmode=transparent&hl=de&rel=0,YouTube Video (UheIEjVM53o),,video,,Valid
treeitem-4c55a3f9-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_3.2_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_3.2_ETG_AM,Schrack for Students,pdf,329 KB,Valid
treeitem-c455c0e8-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,YouTube,https://www.youtube.com/embed/ujoeYwkVNqk?wmode=transparent&hl=de&rel=0,YouTube Video (ujoeYwkVNqk),,video,,Valid
treeitem-c455c0e8-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_3.3_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_3.3_ETG_AM,Schrack for Students,pdf,265 KB,Valid
treeitem-130d4bad-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,YouTube,https://www.youtube.com/embed/MIneT13sV0M?wmode=transparent&hl=de&rel=0,YouTube Video (MIneT13sV0M),,video,,Valid
treeitem-130d4bad-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,YouTube,https://www.youtube.com/embed/XU4-yXUZ6cA?wmode=transparent&hl=de&rel=0,YouTube Video (XU4-yXUZ6cA),,video,,Valid
treeitem-130d4bad-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,YouTube,https://www.youtube.com/embed/Oc8cU3L4I-I?wmode=transparent&hl=de&rel=0,YouTube Video (Oc8cU3L4I-I),,video,,Valid
treeitem-130d4bad-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_3.4_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_3.4_ETG_AM,Schrack for Students,pdf,260 KB,Valid
